ow	Anon Student Id	Problem Hierarchy	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	Step Duration (sec)	Correct Step Duration (sec)	Error Step Duration (sec)	Correct First Attempt	Incorrects	Hints	Corrects	KC(Default)	Opportunity(Default)
1	0BrbPbwCMz	Unit ES_04, Section ES_04-1	EG4-FIXED	1	3(x+2) = 15	2005-09-09 12:24:35.0	2005-09-09 12:24:49.0	2005-09-09 12:25:15.0	2005-09-09 12:25:15.0	40		40	0	2	3	1	[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]	1
2	0BrbPbwCMz	Unit ES_04, Section ES_04-1	EG4-FIXED	1	x+2 = 5	2005-09-09 12:25:15.0	2005-09-09 12:25:31.0	2005-09-09 12:25:31.0	2005-09-09 12:25:31.0	16	16		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: Isolate positive; x+a=b, positive]	1~~1
3	0BrbPbwCMz	Unit ES_04, Section ES_04-1	EG40	1	2-8y = -4	2005-09-09 12:25:36.0	2005-09-09 12:25:43.0	2005-09-09 12:26:12.0	2005-09-09 12:26:12.0	36		36	0	2	3	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	2
4	0BrbPbwCMz	Unit ES_04, Section ES_04-1	EG40	1	-8y = -6	2005-09-09 12:26:12.0	2005-09-09 12:26:34.0	2005-09-09 12:26:34.0	2005-09-09 12:26:34.0	22	22		1	0	0	1	[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]	1~~1
5	0BrbPbwCMz	Unit ES_04, Section ES_04-1	EG40	2	-7y-5 = -4	2005-09-09 12:26:38.0	2005-09-09 12:28:36.0	2005-09-09 12:28:36.0	2005-09-09 12:28:36.0	118	118		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]	3~~1
6	0BrbPbwCMz	Unit ES_04, Section ES_04-1	EG40	2	-7y = 1	2005-09-09 12:28:36.0	2005-09-09 12:28:43.0	2005-09-09 12:28:51.0	2005-09-09 12:28:51.0	15		15	0	1	0	1	[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]	2~~2
7	0BrbPbwCMz	Unit ES_04, Section ES_04-1	EG40	3	7y+4 = 7	2005-09-09 12:28:57.0	2005-09-09 12:29:09.0	2005-09-09 12:29:09.0	2005-09-09 12:29:09.0	12	12		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	4
8	0BrbPbwCMz	Unit ES_04, Section ES_04-1	EG40	3	7y = 3	2005-09-09 12:29:09.0	2005-09-09 12:29:14.0	2005-09-09 12:29:14.0	2005-09-09 12:29:14.0	5	5		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	1~~3
9	0BrbPbwCMz	Unit ES_04, Section ES_04-1	EG40	4	-5+9y = -6	2005-09-09 12:29:19.0	2005-09-09 12:29:31.0	2005-09-09 12:29:31.0	2005-09-09 12:29:31.0	12	12		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]	5~~2
10	0BrbPbwCMz	Unit ES_04, Section ES_04-1	EG40	4	9y = -1	2005-09-09 12:29:31.0	2005-09-09 12:29:36.0	2005-09-09 12:29:36.0	2005-09-09 12:29:36.0	5	5		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	2~~4
11	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	1	-7-3x = -2	2005-09-09 12:29:41.0	2005-09-09 12:30:27.0	2005-09-09 12:30:27.0	2005-09-09 12:30:27.0	46	46		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]	6~~3
12	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	1	-7-3x+7 = -2+7	2005-09-09 12:30:27.0	2005-09-09 12:30:34.0	2005-09-09 12:30:45.0	2005-09-09 12:30:49.0	22		22	0	1	0	2	[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]	1
13	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	1	-3x = 5	2005-09-09 12:30:49.0	2005-09-09 12:31:04.0	2005-09-09 12:31:04.0	2005-09-09 12:31:04.0	15	15		1	0	0	1	[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]	5~~3
14	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	1	-3x/-3 = 5/-3	2005-09-09 12:31:04.0	2005-09-09 12:31:07.0	2005-09-09 12:31:07.0	2005-09-09 12:31:12.0	8	8		1	0	0	2	[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]	1
15	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	2	-9 = 8y+9	2005-09-09 12:31:16.0	2005-09-09 12:31:29.0	2005-09-09 12:31:29.0	2005-09-09 12:31:29.0	13	13		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	7
16	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	2	-9-9 = 8y+9-9	2005-09-09 12:31:29.0	2005-09-09 12:31:32.0	2005-09-09 12:31:32.0	2005-09-09 12:31:39.0	10	10		1	0	0	2	[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]	2
17	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	2	-18 = 8y	2005-09-09 12:31:39.0	2005-09-09 12:31:44.0	2005-09-09 12:31:44.0	2005-09-09 12:31:44.0	5	5		1	0	0	1	[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]	3~~6
18	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	2	-18/8 = 8y/8	2005-09-09 12:31:44.0	2005-09-09 12:31:46.0	2005-09-09 12:31:46.0	2005-09-09 12:32:56.0	72	72		1	2	0	2	[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]	2
19	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	3	-2-2x = 9	2005-09-09 12:33:01.0	2005-09-09 12:33:22.0	2005-09-09 12:33:32.0	2005-09-09 12:33:32.0	31		31	0	1	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative]	8~~4
20	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	3	-2-2x+2 = 9+2	2005-09-09 12:33:32.0	2005-09-09 12:33:37.0	2005-09-09 12:33:37.0	2005-09-09 12:33:40.0	8	8		1	0	0	2	[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]	3
21	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	3	-2x = 11	2005-09-09 12:33:40.0	2005-09-09 12:33:46.0	2005-09-09 12:33:46.0	2005-09-09 12:33:46.0	6	6		1	0	0	1	[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}]	7~~4
22	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	3	-2x/-2 = 11/-2	2005-09-09 12:33:46.0	2005-09-09 12:33:51.0	2005-09-09 12:33:51.0	2005-09-09 12:33:55.0	9	9		1	0	0	2	[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]]	3
23	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	4	4+4y = -6	2005-09-09 12:33:59.0	2005-09-09 12:34:06.0	2005-09-09 12:34:06.0	2005-09-09 12:34:06.0	7	7		1	0	0	1	[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]	9
24	0BrbPbwCMz	Unit ES_04, Section ES_04-2	EG40	4	4+4y-4 = -6-4	2005-09-09 12:34:06.0	2005-09-09 12:34:09.0	2005-09-09 12:34:09.0	2005-09-09 12:34:17.0	11	11		1	0	0	2	[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]	4
